
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    172.21.32.1:139        0.0.0.0:0              LISTENING       4
  TCP    172.21.32.1:6917       172.21.40.96:35979     ESTABLISHED     9364
  TCP    172.21.32.1:6924       172.21.40.96:35979     ESTABLISHED     9364
  TCP    172.31.112.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.31.33:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.31.33:4672     52.139.250.253:443     ESTABLISHED     6600
  TCP    192.168.31.33:5154     52.139.250.253:443     ESTABLISHED     21748
  TCP    192.168.31.33:7005     120.241.186.232:443    CLOSE_WAIT      23572
  TCP    192.168.31.33:7096     120.241.186.232:443    CLOSE_WAIT      23572
  TCP    192.168.31.33:7097     120.241.186.232:443    CLOSE_WAIT      23572
  TCP    192.168.31.33:7098     120.241.186.232:443    CLOSE_WAIT      23572
  TCP    192.168.31.33:7244     182.254.78.105:443     CLOSE_WAIT      23572
  TCP    192.168.31.33:7453     111.7.189.171:443      CLOSE_WAIT      23572
  TCP    192.168.31.33:12382    120.241.186.18:443     CLOSE_WAIT      23572
  TCP    192.168.31.33:12459    120.241.33.66:5628     TIME_WAIT       0
  TCP    192.168.31.33:12473    120.241.33.66:5628     TIME_WAIT       0
  TCP    192.168.31.33:12777    120.241.33.66:5628     TIME_WAIT       0
  TCP    192.168.31.33:12798    120.241.33.66:5628     TIME_WAIT       0
  TCP    192.168.31.33:12815    120.241.33.66:5628     TIME_WAIT       0
  TCP    192.168.31.33:12824    120.241.33.66:5628     TIME_WAIT       0
  TCP    192.168.31.33:12998    120.241.33.66:5628     TIME_WAIT       0
  TCP    192.168.31.33:13052    40.70.229.150:443      TIME_WAIT       0
  TCP    192.168.31.33:13076    111.30.159.176:80      ESTABLISHED     23572
  TCP    192.168.31.33:13077    111.13.38.110:443      ESTABLISHED     23572
  TCP    192.168.31.33:13083    44.237.242.103:443     TIME_WAIT       0
  TCP    192.168.31.33:13084    140.179.8.40:80        ESTABLISHED     7144
  TCP    192.168.31.33:13090    140.82.112.26:443      ESTABLISHED     15048
  TCP    192.168.31.33:13091    222.186.190.76:443     ESTABLISHED     23800
  TCP    192.168.31.33:13092    223.119.156.21:443     ESTABLISHED     2440
  TCP    192.168.31.33:13093    40.90.10.66:443        ESTABLISHED     2440
  TCP    192.168.31.33:13099    162.159.133.234:443    ESTABLISHED     24660
  TCP    192.168.31.33:13105    34.237.73.95:443       ESTABLISHED     2260
  TCP    192.168.31.33:13107    75.2.88.188:443        ESTABLISHED     2260
  TCP    192.168.31.33:13109    34.237.73.95:443       ESTABLISHED     15048
  TCP    192.168.31.33:13114    75.2.88.188:443        ESTABLISHED     15048
  TCP    192.168.31.33:13125    34.237.73.95:443       ESTABLISHED     15048
  TCP    192.168.31.33:13133    202.89.233.101:443     ESTABLISHED     13044
  TCP    192.168.31.33:13137    54.192.18.115:443      TIME_WAIT       0
  TCP    192.168.31.33:13138    59.111.137.170:443     TIME_WAIT       0
  TCP    192.168.31.33:13139    106.2.69.38:443        TIME_WAIT       0
  TCP    192.168.31.33:13140    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13141    106.2.95.10:8764       ESTABLISHED     22048
  TCP    192.168.31.33:13142    117.18.232.200:443     ESTABLISHED     13044
  TCP    192.168.31.33:13144    13.107.3.254:443       ESTABLISHED     13044
  TCP    192.168.31.33:13145    13.107.6.254:443       ESTABLISHED     13044
  TCP    192.168.31.33:13146    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13147    42.186.235.111:443     TIME_WAIT       0
  TCP    192.168.31.33:13148    204.79.197.222:443     ESTABLISHED     13044
  TCP    192.168.31.33:13149    106.2.69.38:443        CLOSE_WAIT      22048
